company_name,col_name,min_cont_length,horizon,model_name,MAE,MdAE,RMSE,MASE,MdASE
C,NormSpend,13,6,flstm8,0.226284,0.149024,0.309419,0.898496,0.773255
C,NormSpend,13,6,flstm8bv,0.227607,0.151879,0.311224,0.903748,0.788070
C,NormSpend,13,6,lstm16,0.175093,0.137374,0.229001,0.695234,0.712806
C,NormSpend,13,6,lstm16b,0.174271,0.136875,0.228311,0.691970,0.710218
C,NormSpend,13,6,lstm32,0.174402,0.135771,0.229004,0.692489,0.704486
C,NormSpend,13,6,lstm32b,0.176469,0.139575,0.229133,0.700695,0.724226
C,NormSpend,13,6,lstm32bf,0.197464,0.138020,0.270865,0.784059,0.716155
C,NormSpend,13,6,lstm32bv,0.174152,0.130182,0.232999,0.691498,0.675489
C,NormSpend,13,6,lstm32f,0.230148,0.155274,0.314165,0.913836,0.805688
C,NormSpend,13,6,lstm4,0.173900,0.135721,0.228509,0.690495,0.704230
C,NormSpend,13,6,lstm4b,0.173828,0.134124,0.229200,0.690210,0.695941
C,NormSpend,13,6,lstm8,0.175438,0.138488,0.228633,0.696602,0.718587
C,NormSpend,13,6,lstm8b,0.174422,0.137499,0.228458,0.692569,0.713457
C,NormSpend,13,6,lstm8bf,0.183028,0.146724,0.238800,0.726738,0.761322
C,NormSpend,13,6,lstm8bv,0.172589,0.130360,0.230026,0.685291,0.676412
C,NormSpend,13,6,lstm8f,0.226284,0.149024,0.309419,0.898496,0.773255
C,NormSpend,13,6,naive,0.209916,0.154233,0.289085,0.833503,0.800285
C,NormSpend,13,1,flstm32bv,0.226665,0.166374,0.305874,0.988960,0.948523
C,NormSpend,13,3,flstm32bv,0.223638,0.167823,0.299964,1.006647,0.987377
C,NormSpend,13,6,flstm32bv,0.253463,0.185088,0.340489,1.006413,0.960386
